category;tweet_id;text;date;retweet_count;geo;coordinates;place_id;place_centroid;place_country;place_country_code;place_full_name;place_name;place_type
ecoli;1.15124E+18;*@EUpchurchPhoto Yeah with all the Ecoli &amp  Urine in the water and who knows what else!!! YIKES NO THANKS!!! https://t.co/adrCRebMzp;7/16/2019 21:19;0;;;;;;;;;
ecoli;1.15123E+18;"*@Lima_LimonLimon Salmonella Shigela y Norovirus patógenos más comunes y roguemos que no te enganches una Ecoli. Sintomas vómitos dolores abdominales diarrea y fiebre. También pueden presentarse síntomas neurológicos ojos hinchados dificultades
renales visión doble etc..si no pasa te salvaste";7/16/2019 20:42;0;;;;;;;;;
ecoli;1.15123E+18;*@andymilonakis The secret menu at Chipotles is just asking for no ecoli;7/16/2019 20:39;1;;;;;;;;;
ecoli;1.15121E+18;*@w8lid *@McDonalds the whole fast food concept is dirty. washrooms have no hooks for coats and you are told to use the diaper change table to put sweaters and coats on  woohooo ecoli off the sleeves now all over the eating table surfaces;7/16/2019 19:29;0;;;;;;;;;
ecoli;1.15121E+18;*@ChristyMillarUK Btw I favourite the getting out part, not the ecoli 🙈😂;7/16/2019 19:09;0;;;;;;;;;
ecoli;1.1512E+18;"Meanwhile at USDA
*Denver parks kill and ship #geese to be processed as food
*62,000 lbs, of raw #beef recalled due to #EColi
*Tyson recalls 95-tons of #chicken #Fritters
*Beef #pork from Denver plant produced after inspection hours recalled
https://t.co/JCYQvzibsz  #FoodShortage https://t.co/Y42MfrZKfz";7/16/2019 18:54;0;;;;;;;;;
ecoli;1.1512E+18;Chipotle will exterminate the alien species with their ecoli bowls;7/16/2019 18:21;0;;;;;;;;;
ecoli;1.15119E+18;If the military don’t then the Ecoli will https://t.co/KI3LzcT5Rr https://t.co/i2VrunhP0P;7/16/2019 18:19;0;;;;;;;;;
ecoli;1.15119E+18;*@ChipotleTweets Don’t you dare! The last thing they need is ecoli!!!!!!;7/16/2019 18:14;0;;;ac88a4f17a51c7fc;-122.60732213490436,45.536401749999996;United States;US;Portland, OR;Portland;city
ecoli;1.15119E+18;Hope you don't have cancer...or your children, any rare disease or your children, any pregnancy problems where your baby needs surgery to survive, medicines, cures, animal  diseases like swine flu, bird flu, mad-cow in food we eat, Ecoli outbreaks, salmonella, listeria... #GutFDA https://t.co/K7HBekyV9D;7/16/2019 18:08;1;;;;;;;;;
