category;tweet_id;text;date;retweet_count;geo;coordinates;place_id;place_centroid;place_country;place_country_code;place_full_name;place_name;place_type
#industrialpollution;1.15073E+18;"*@EUEnvironment European Pollutant Release and Transfer (E-PRTR) data is used in studies to assess the effectiveness of environmental policies addressing #industrialpollution, such as the #EU Industrial #Emissions Directive. 🏭🏭
➡️https://t.co/1dBn8ZBR5C https://t.co/AdaAdKFIB7";7/15/2019 11:38;0;;;;;;;;;
#drinkingwatercontamination;1.15138E+18;21 Drinking Water Bacteria, https://t.co/TVUEOYEyH8 #bacteriaindrinkingwater #drinkingwater #drinkingwatercontamination #healthywater;7/17/2019 6:54;0;;;;;;;;;
#drinkingwatercontamination;1.14977E+18;Stories about these potentially toxic, man-made chemicals getting into the environment and contaminating water supplies have become a frequent occurrence. https://t.co/B9UOyP68jv #pfas #drinkingwatercontamination #healthconcerns #waterquality;7/12/2019 19:45;0;;;;;;;;;
#algaebloom;1.15262E+18;Can’t believe it’s the hottest weekend of the year and all those lake people are going to get their first taste of a #landlyfe #summer #welcome #algaebloom #algaedoooomed;7/20/2019 17:02;0;;;;;;;;;
#algaebloom;1.15221E+18;#EnvironmentalEmergency #AlgaeBloom #SaveTheDolphins https://t.co/nSu55CFSFs;7/19/2019 13:48;0;;;;;;;;;
#algaebloom;1.1516E+18;New water samples in Mississippi show that the tropical storm didn't wash the #toxicalgae out to sea. All 21 of Mississippi's beaches are still closed because of the dangerous #algaebloom in the Gulf. https://t.co/da9TSkmdtr;7/17/2019 21:24;4;;;;;;;;;
#algaebloom;1.1516E+18;We successfully deployed the ESP in Lake Erie this morning. #NOAA #Fieldwork #GLERL #LMFS #Science #HABS #NOAA_GLERL #Algaebloom #Algae #Research #LakeErie #GreatLakes #michigan #ohio https://t.co/4zDeudqrOY;7/17/2019 21:01;1;;;;;;;;;
#algaebloom;1.15152E+18;If you enjoy time on New York’s waters, be informed about harmful algal blooms and how to avoid exposure to you and your pets: https://t.co/iix4Sv1Rwq #algaebloom #algalbloom *@NOAA *@SeaGrant *@NOAAeducation *@NOAA_GLERL *@ccecornell *@CornellCALS https://t.co/mD7OHyXUKB;7/17/2019 15:59;4;;;;;;;;;
#algaebloom;1.15146E+18;The Grant County Health District (GCHD) is asking the public to avoid contact with Moses Lake after a blue-green #AlgaeBloom was detected. https://t.co/KDqvXzDFlF via *@KREM2;7/17/2019 11:46;0;;;;;;;;;
#algaebloom;1.15146E+18;A possible blue-green #AlgaeBloom reported Monday at Outboards Only, a marina on the St. Lucie River that had a thick, nasty bloom in 2016. https://t.co/Zkdv6dwHqt via *@tcpalm;7/17/2019 11:42;2;;;;;;;;;
#algaebloom;1.15097E+18;*@CC_StormWatch Did #Barry help the #algaebloom problem in my MS gulf coast waters or not?   #Barry;7/16/2019 3:28;0;;;;;;;;;
#algaebloom;1.15084E+18;"The dead zone in the #GulfOfMexico, fed by fertilizer &amp  animal waste runoff from #farmlands into the #MississippiRiver, expected to be larger this year due to record-breaking floodwaters which encourage #algaebloom. #LakeErie 

https://t.co/SpbCh0PloK";7/15/2019 18:37;0;;;;;;;;;
#algaebloom;1.15079E+18;"The canals in Hackney were awash in #algae - and a bit of trash. 
.
.
.
.
.
#london #canals #algaebloom #litter #trash #plasticbottle #beercan #wandering #foundart #streetphotography #uk *@ Hackney Canal https://t.co/7pkqy2qqjS";7/15/2019 15:34;0;;;;;;;;;
#algaebloom;1.15076E+18;Last week, #toxicalgae in the Gulf of Mexico forced all of Mississippi’s gulf coast beaches to close. The #algaebloom was created by runoff in the Mississippi River flowing into the Gulf. More nationwide blooms found by *@ewg: https://t.co/UHQbCRxovY #EWGonag #agimpacts https://t.co/0j6Z31N4UV;7/15/2019 13:30;8;;;;;;;;;
#algaebloom;1.15051E+18;The Gulf of Mexico has an #AlgaeBloom problem—and Tropical Storm Barry is poised to make it worse. https://t.co/xI2XdvRlBp via *@qz;7/14/2019 21:06;3;;;;;;;;;
#algaebloom;1.15011E+18;"northlink_ferries Hjaltland heading south from Lerwick tonight through colourful seas thanks to an algae bloom around Shetland

#algaebloom #northlinkferries #hjaltland #nikond810 #briangrayphotography… https://t.co/onjxn0IZls";7/13/2019 18:47;0;;;;;;;;;
#algaebloom;1.15005E+18;Wilson said he believes coastal areas should anticipate more #AlgaeBloom incidences as agricultural runoff has risen to become the No. 1 source of water pollution in the U.S. https://t.co/VKYrzlLGYM;7/13/2019 14:36;11;;;;;;;;;
#algaebloom;1.14978E+18;I'm guessing #Barry ISN'T going to that #algaebloom near Mississippi, sucking it all up into the clouds, zapping it with lightning &amp  giving it sentience, then raining it down on land thereby giving our new Algae Overlords plenty of opportunity to take over the world? No? Rats. https://t.co/nCfCw3kY5u;7/12/2019 20:46;0;;;;;;;;;
#algaebloom;1.14971E+18;Chaos Buffering Chaos. #ClimateChange #LakeErie #AlgaeBloom https://t.co/tkexf80FAU https://t.co/6H28Uj9qCm;7/12/2019 16:00;0;;;;;;;;;
#algaebloom;1.14971E+18;GREAT LAKES: #AlgaeBloom boom likely for #LakeErie, #WaterQuality researchers predict https://t.co/3mU1lDKTP2;7/12/2019 15:47;4;;;;;;;;;
#algaebloom;1.14968E+18;"These toxic #algaebloom began 2-3 weeks ago as an ongoing result of the large amounts of nutrients, #pesticides, and #fertilizers released into the Bonnet Carre Spillway opening from the record-high Mississippi River into Lake Pontchartrain.
https://t.co/Bpu0s5Yruo";7/12/2019 14:00;0;;;;;;;;;
#algaebloom;1.14944E+18;FIRST WARNING WEATHER: Concerned about blue-green algae where you swim or boat.  Here is a do-it-yourself way of testing the water. https://t.co/R4bUmGx0xJ  #lakeerie #algaebloom *@PresqueIsleSP;7/11/2019 22:00;1;;;;;;;;;
#algaebloom;1.14942E+18;All of Mississippi's gulf coast beaches have closed because of a toxic #algaebloom. Local businesses say economic conditions are as bad as they were during the 2010 Gulf oil spill. https://t.co/tbJBuXJsqw;7/11/2019 20:40;0;;;;;;;;;
#algaebloom;1.14932E+18;Over on *@PUT_IN_BAY today for a story on Lake Erie #algaebloom. Tram operator says this is the least amount of water they’ve had on this road all season. Crazy. #WEWS #highwater https://t.co/n2zlERIkzM;7/11/2019 14:12;4;;;;;;;;;
#algaebloom;1.14921E+18;"The entire GULF coast is in so much trouble r n.
#flooding #AlgaeBloom #HurricaneBarry #tRUMPinOval";7/11/2019 7:09;0;;;;;;;;;
#oilspill;1.15272E+18;Chevron gets two-month #oilspill under control after California orders action https://t.co/4f7P0a1Zxf *@orosane *@EcoWatch *@greenpeaceusa https://t.co/xIWQDlVf0y;7/20/2019 23:01;0;;;;;;;;;
#oilspill;1.15271E+18;"#MUN #biologyprof critical of self-reported information of #oilspill

#seabirds #oil #stormpetrel

 | CBC News https://t.co/jbl8YDhQTd";7/20/2019 22:21;0;;;;;;;;;
#oilspill;1.15268E+18;#Oilspill hits largest breeding population of #African #penguin https://t.co/JZCHwFsDEf #marinelife #marinelifeconservation #marinelifeprotection;7/20/2019 21:00;1;;;;;;;;;
#oilspill;1.15268E+18;"#KernCounty CA: Chevron Says Attempt to Seal Off Well May Have Triggered Big #OilSpill | KQED 
https://t.co/p75TBbbDZC";7/20/2019 20:48;0;;;;;;;;;
#oilspill;1.15265E+18;You don't have to experience a biohazard spill or trauma alone. Whether a sewage or oil spill, trauma or crime scene, we help home and business owners with compassionate, prompt and professional cleaning &amp  sanitizing services. #Cleaning #trauma #oilspill #sewerspill https://t.co/51VLGiaLl3;7/20/2019 19:01;0;;;;;;;;;
#oilspill;1.15258E+18;"Advertise with ECO for our Sept/Oct issue! Advertising gives you direct access to an international audience of ocean #scientists and professionals! 

https://t.co/DKNEnPVqC3 
#advertise #ad #advert #magazine #oilspill #coastal https://t.co/l7MqlqrfnO";7/20/2019 14:23;0;;;;;;;;;
#oilspill;1.15245E+18;"#RECSOEnviroSpill2019 Welcomes Technical Committee #CoChairman Ibrahim Hilal, Global Oil Spill-Director *@Saudi_Aramco  
Register Now!15-17 October 2019 #UAE 
#Conference #Exhibition #OilSpill #Prevention #Preparedness #Response *@AdnocGroup *@ADNOCdist *@recso1972 *@Bapco *@iCONEXGulf https://t.co/5O4Hhtctlf";7/20/2019 5:32;0;;;;;;;;;
#oilspill;1.1524E+18;"Most damning, is scrolling *@GOPLeader’s TL I didn’t SEE A WORD on *@Chevron’s #OilSpill hurting #Kern #constituents, #environment &amp  #wildlife for years. 

#Election2020 #VoteBlueToSaveHumanity because the #CorruptGOP are dangerous to our #health, #humans, #pets, &amp  #existence https://t.co/FPTVu7sbzR";7/20/2019 2:17;1;;;;;;;;;
#oilspill;1.15237E+18;Tema destacado de RCI: los Derechos Humanos - Radio Canadá Internacional https://t.co/N2cWZSclSd #OILSPILL #OilSpill https://t.co/zcTOJ5vfLd;7/20/2019 0:15;0;;;;;;;;;
#oilspill;1.15237E+18;"Thank goodness for *@OpenSecretsDC!

*@GOPLeader You have an obligation to inform your constituents of possible environmental dangers.

Could your inaction regarding the biggest #OilSpill (800K gallons) in #California in almost 20 years be *@Chevron is one of your top donors? https://t.co/xRWE46Wpp2";7/20/2019 0:10;1;;;;;;;;;
