category;tweet_id;text;date;retweet_count;geo;coordinates;place_id;place_centroid;place_country;place_country_code;place_full_name;place_name;place_type
lead water;1.15E+18;REPOST-Coming Soon to STEM Schools Everywhere: Systemic Changes Lead to RE*@L’s STEM Investigation #1: Water Quality! https://t.co/OqWoY0PUrj https://t.co/2EYCpZZzvb;7/14/2019 20:35;0;;;;;;;;;
lead water;1.15E+18;*@ironlordthemad You can lead a horse to water...;7/14/2019 20:30;0;;;;;;;;;
lead water;1.15E+18;*@SethMacFarlane Like America, Tweeter is all about FREEDOM OF SPEECH (or not), and especially DIVERSITY: passionate thinkers (or not), well-spoken (or not), and rational when communicating (or not). People are like horses: You can lead a horse to water but you can't make him drink.;7/14/2019 20:29;0;;;;;;;;;
lead water;1.15E+18;"You can lead them to the water but never make them .... 
well yall get the picture 
You create your own story 
Just make it worth tellin";7/14/2019 20:25;0;;;;;;;;;
lead water;1.15E+18;It was thirst for water that lead to frodo’s collapse on the slope of mt. doom but it was thirst for that dick that lead to samwise gamgee carrying frodo up to the peak https://t.co/BpbNo6Yh0L;7/14/2019 20:13;0;;;;;;;;;
lead water;1.15E+18;*@zeshang *@zartajgulwazir duffer a driver son can rule London but in Pakistan only son/daughter have to right to rule.moreover, here a failed person in all form of life can lead the nation 3 times but not even know his daughter is dating with her driver. needs grace to admit but u r water proof;7/14/2019 20:05;0;;;;;;;;;
lead water;1.15E+18;New bill by *@SenDuckworth (*@TheDemocrats) introduced: A bill to improve the removal of lead from drinking water in public housing... https://t.co/p5jL2v1R8O https://t.co/qJ2nrawOJv;7/14/2019 20:00;0;;;;;;;;;
lead water;1.15E+18;Fact check: Trump misleads on tackling lead in drinking water https://t.co/94g55u8R18 via *@nbcnews;7/14/2019 19:58;1;;;;;;;;;
lead water;1.15E+18;".*@DextureMcCall27 crushes a three run dinger to give the X's a 4-0 lead in the 6th! 

Here in Wisconsin, their local trade mark (delicious) beer Spotted Cow can also be used as windshield wiper fluid, tap water and is used as communion wine";7/14/2019 19:56;2;;;;;;;;;
lead water;1.15E+18;And I saw the big metal water tank barried behind Grace's old room. And a cap sticking up out of the ground. That lead to it. That's where the other 130 grand went;7/14/2019 19:53;0;;;;;;;;;
lead water;1.15E+18;*@realDonaldTrump *@GOP *@DNC    Fact check: Trump misleads on tackling lead in drinking water https://t.co/GQud0ISRk5;7/14/2019 19:49;0;;;;;;;;;
lead water;1.15E+18;"Logos: ""You can lead a Gullwing to water, but you can’t make it drink!""";7/14/2019 19:41;0;;;;;;;;;
lead water;1.15E+18;It’s pool season!! Use the water watcher method to make sure there is always an adult who is “actively” watching children in the water. Distractions or assuming someone else is watching the kids can lead to tragic outcomes when in or near the water. https://t.co/GWsJFR6PG6;7/14/2019 19:40;0;;;;;;;;;
lead water;1.15E+18;It’s not they fault it’s just their mind fram &amp  frequency level they on at the time! Like they say, you can lead a horse to the water but you can’t make it drink!;7/14/2019 19:37;0;;;;;;;;;
lead water;1.15E+18;Oh yel rashita  tlaib  did Detroit teach you how to keep your district from cleaning up the soiled water with lead in it how could you go national when you can’t even get local problems solved you phony baby;7/14/2019 19:36;0;;;;;;;;;
lead water;1.15E+18;My emotions and words. He lead me to Peter walking on water story. After God spoke to me on October 7th, 2016 I to,d my husband about our we had the power to walk on water but the world put doubt in our mind and the doubt makes us sink. Of corse he said he was gonna take me to;7/14/2019 19:28;0;;;;;;;;;
lead water;1.15E+18;*@drjasonfung if glycogen is always used preferentially to fat (refridgerator/basement freezer analogy), how does caloric restriction lead to short-term weight loss? Is it only water weight? I would think that fat loss necessarily requires entering a state of ketosis.;7/14/2019 19:28;0;;;;;;;;;
lead water;1.15E+18;*@AlannaHnatiw *@dheuman *@ABheartland *@SturgeonEcDev People are literally just asking you to make sure our future isn't constant wildfires and no drinkable water. Solar energy is renewable and far safer! Lead the way instead of doing the same old, same old ...;7/14/2019 19:10;0;;;;;;;;;
lead water;1.15E+18;Is Flint's Water Crisis Leading to Lower Test Scores? https://t.co/0nL98fsUqA;7/14/2019 19:10;0;;;;;;;;;
lead water;1.15E+18;You can lead a horse to water but you can't make em drink;7/14/2019 19:06;1;;;;;;;;;
lead water;1.15E+18;Clean drinking water as a right?? So you’re saying we are going to tax people in Flint, Michigan who drink lead-contaminated water to subsidize clean water drinkers? Makes NO sense!;7/14/2019 18:53;1;;;;;;;;;
lead water;1.15E+18;"Flexzilla Garden Hose, Heavy Duty, Lightweight, Drinking Water Safe
         https://t.co/1i00jBfcEP";7/14/2019 18:49;0;;;;;;;;;
lead water;1.15E+18;A lead boat should not be used to cover up a poorly marked Open Water course. Positioned 15-20m in front of the leaders, it provides a draft. If the course is well marked, there is no need for a lead boat.;7/14/2019 18:43;1;;;;;;;;;
lead water;1.15E+18;About 30,000 Missouri American Water customers have lead service lines. Why will replacing them take more than a decade? https://t.co/GmsyNrO5P3 https://t.co/MYOh039t8N;7/14/2019 18:40;0;;;;;;;;;
lead water;1.15E+18;You can lead a horse to water but you can’t make them drink... https://t.co/uZXq0tnHvh;7/14/2019 18:37;0;;;;;;;;;
lead water;1.15E+18;The water  💦 tower is across the street from my apartment where I started my walk. It lead me to the bridge you see in the distance. Now I’m standing on another bridge and as soon as I… https://t.co/A6KOhoBW0y;7/14/2019 18:37;0;;;;;;;;;
lead water;1.15E+18;That was 2015 and they are still pointing their fingers at each other and not fixing the infrastructure. https://t.co/Z3pY9f1VLi;7/14/2019 18:37;0;;;;;;;;;
lead water;1.15E+18;"*@LogoCentrifuge *@AOC And let’s say the drone spots someone (or a group) crossing.

It can stay with them. Lead them to rendesvous with agents, even drop water if it is big enough.

It becomes far more humane.(/16)";7/14/2019 18:35;0;;;;;;;;;
lead water;1.15E+18;RCR Royal Crystal Rock Fusion Stem 11oz Water Goblets 6 Lead Crystal new glasses https://t.co/rLDjwj8Qr4 #affiliatelink #tosimplyshop https://t.co/jm4bSXSxlN;7/14/2019 18:32;0;;;;;;;;;
lead water;1.15E+18;Second half water break and South Lakes still holding on to a 2-1 lead;7/14/2019 18:31;0;;;;;;;;;
lead water;1.15E+18;"You Can Lead a Horse to Water

Goose Pond Mountain Area
NY-17M
Chester, NY

#slownaturewalk #chesterny #newyork #chester #newyorkstate #goodafternoon #statepark #nature #outdoors #wetlands #grasses #grass #green https://t.co/UNEfLG9mmw";7/14/2019 18:25;0;;;07d9dfe057880003;-74.23930873282318,41.302914603868075;United States;US;Goosepond Mountain State Park;Goosepond Mountain State Park;poi
lead water;1.15E+18;*@kulanicool Malemas very own religiously blind follower. Oksalayo Pravin was appointed with you guys threatening to disturb parliament and to date he hasn't been removed. Cyril does not take instructions from that flip flopper. Drink water guys and let Cyril lead.;7/14/2019 18:25;0;;;;;;;;;
lead water;1.15E+18;"*@aarongrt ""You can lead a horse to water, but can't force it to drink.""";7/14/2019 18:25;0;;;;;;;;;
lead water;1.15E+18;*@TheRickWilson You can lead a horse to water but you can’t make it drink.;7/14/2019 18:24;0;;;;;;;;;
lead water;1.15E+18;"*@NYCMayor *@NYCMayorsOffice *@ConEdison Too little, too late.

You couldn't lead people out of a brown paper bag.
You couldn't lead people to water if you fell out of a boat.
Should I go on...";7/14/2019 18:15;0;;;;;;;;;
lead water;1.15E+18;Did you know that DEHYDRATION can lead to serious health complications, including: 🌡Heat injury 😣 Swelling of the brain 🤕 Seizures 😒 Low Blood Volume Shock (hypovolemic shock) 😲 Kidney Failure 😟 Coma and death 💧 Water makes up nearly 85% of our brain, 90% of our blood, a…;7/14/2019 18:15;0;;;;;;;;;
lead water;1.15E+18;I just want niggas to think...try to lead em to the water they dont drink. *@KingDraftMusic;7/14/2019 18:12;2;;;;;;;;;
lead water;1.15E+18;CNN is anti American. Free speech is Not lies. We are allowing indoctrination for decades. Long wars. Pediophiles lead water Huge debt. Need news https://t.co/Wdy5xqX4Rg;7/14/2019 18:05;0;;;;;;;;;
lead water;1.15E+18;Yes we need to do. Water at growing our own! Let’s lead from the middle. #BeUncommon https://t.co/YHVsYg2YQr;7/14/2019 17:56;0;;;;;;;;;
lead water;1.15E+18;"Aren’t kids in Flint Michigan suffering from lead poisoning because of the poisoned water they’re drinking? 

How’s this the “greatest nation on earth?”";7/14/2019 17:52;1;;;;;;;;;
lead water;1.15E+18;you can lead a horse to water, but you can’t make him drink;7/14/2019 17:48;0;;;;;;;;;
lead water;1.15E+18;*@KenWebsterJrSho *@titch3435 *@RepJoeKennedy True, it’s the old saying:you can lead the horse to water but you can’t make him drink;7/14/2019 17:40;0;;;;;;;;;
