category;tweet_id;text;date;retweet_count;geo;coordinates;place_id;place_centroid;place_country;place_country_code;place_full_name;place_name;place_type
#waterandsanitation;1.15369E+18;In #Chennai, India nearly 5 million people can't access #water due to draining groundwater and a weak monsoon season. Access to #WaterAndSanitation can drastically impact lived-experience which is why it's goal 6 of the *@UN *@ConnectSDGs and measured by the #SocialProgress Index. https://t.co/zXogZz9unl;7/23/2019 15:30;1;;;;;;;;;
#waterandsanitation;1.15274E+18;#Rotary #WaterAndSanitation Focus Area https://t.co/d4RV1GHbyE;7/21/2019 0:20;0;;;;;;;;;
#waterandsanitation;1.15248E+18;Reminder of the impact that *@waterequityorg is having in scaling up #waterandsanitation lending. Pleased to have made a $20m loan in support of their operations in Asia https://t.co/RbqsCWWueC;7/20/2019 7:43;0;;;;;;;;;
#wastewater;1.15563E+18;Can you recommend anyone for this job? WRD SAFETY/SECURITY SPECIALIST - https://t.co/taiylciIWn #wastewater #Labor;7/28/2019 23:48;0;36.1699412,-115.1398296;-115.1398296,36.1699412;5c2b5e46ab891f07;-115.2709272692122,36.232915;United States;US;Las Vegas, NV;Las Vegas;city
#wastewater;1.15562E+18;Veolia wins Kuwait wastewater treatment plant contract #kuwait #wastewater #WasteManagement https://t.co/4avMIm8EYM;7/28/2019 23:30;0;;;;;;;;;
#wastewater;1.1556E+18;wastewater treatment plant operator ii https://t.co/0AoBtCZIiI #wastewater;7/28/2019 22:04;0;;;;;;;;;
#wastewater;1.1556E+18;senior wastewater treatment plant operator https://t.co/YtEmZCjR7s #wastewater;7/28/2019 22:04;0;;;;;;;;;
#wastewater;1.1556E+18;If you're looking for work in Las Vegas, NV, check out this job: https://t.co/Ha3rY8IwXi #wastewater #Labor;7/28/2019 21:58;0;36.1699412,-115.1398296;-115.1398296,36.1699412;5c2b5e46ab891f07;-115.2709272692122,36.232915;United States;US;Las Vegas, NV;Las Vegas;city
#wastewater;1.15559E+18;Flocculation units are available in a variety of capacity levels. This 61 gallon version is one option: https://t.co/r0GmGfByUS *@WehaUSA #water #watertreatment #wastewater #waterfilter https://t.co/qjG1UK8PUQ;7/28/2019 21:43;0;;;;;;;;;
#wastewater;1.15559E+18;Water treatment benefit: Lowers the expense of #water and sewer bills. https://t.co/Kl3n68tG07 *@WehaUSA #watertreatment #wastewater #waterfilter https://t.co/KVVuP6oohq;7/28/2019 21:33;0;;;;;;;;;
#wastewater;1.15559E+18;chemical support technician-(seattle candidates only ) https://t.co/BvxsTPQ3CG #wastewater;7/28/2019 21:16;0;;;;;;;;;
#wastewater;1.15557E+18;"South East Water is working with *@VodafoneUK on a pilot that the water company believes is likely to revolutionise leakage detection &amp  prevention.

For the full article, view this link 

https://t.co/eLEuPdKEYB

#News #Innovation #Water #Technology #Pipes #Leakages #Wastewater";7/28/2019 20:10;0;;;;;;;;;
#wastewater;1.15557E+18;Join the CCWRD team! See our latest job opening here: https://t.co/iC18gBxs0B #wastewater #Labor;7/28/2019 20:08;0;36.1699412,-115.1398296;-115.1398296,36.1699412;5c2b5e46ab891f07;-115.2709272692122,36.232915;United States;US;Las Vegas, NV;Las Vegas;city
#wastewater;1.15555E+18;wastewater operator i https://t.co/nlVjUt4ZD5 #wastewater;7/28/2019 19:05;0;;;;;;;;;
#wastewater;1.15555E+18;wastewater treatment plant operator https://t.co/m5609pTiZA #wastewater;7/28/2019 19:05;0;;;;;;;;;
#wastewater;1.15555E+18;sera offers a wide range of products and develops visionary economical, technological, and ecological solutions that are essential for many application areas such as water and #wastewater treatment, #disinfection, https://t.co/Fdqx3a4UYq #CompressorTechnology https://t.co/2fFpB367pI;7/28/2019 19:00;0;;;;;;;;;
#wastewater;1.15554E+18;The future of toilet paper is here!! A new sustainable toilet paper start-up *@WhoGivesACrapTP donates 50% of profits to organizations that build and maintain toilets and septic systems in communities in need https://t.co/OkpQqtthKU #wastewater #sewage #sustainability #startup;7/28/2019 18:25;0;;;;;;;;;
#wastewater;1.15554E+18;Designed and built to last. The Filter Project 198 GPM compact #watertreatment system: https://t.co/8UuY09HRTK *@WehaUSA #water #wastewater #waterfilter https://t.co/LCctSD50lP;7/28/2019 17:58;0;;;;;;;;;
#wastewater;1.15552E+18;"Some stone equipment is ordinary. Other stone equipment is very im""press""ive! water filter press https://t.co/YZ1hmqBXQs *@WehaUSA #water #watertreatment #wastewater #waterfilter https://t.co/AigVDX34Fk";7/28/2019 16:31;0;;;;;;;;;
#wastewater;1.15549E+18;"We have formulated our extensive product range with our customers in mind, developing a variety of standard #solutions suitable for all types of applications. Discover our full range of products here: https://t.co/iOiQcxE7Nl
#water #wastewater https://t.co/IMfOEcU7qa";7/28/2019 15:07;0;;;;;;;;;
#wastewater;1.15546E+18;See how we’re converting #wastewater sludge into biosolids &amp  biogas to help power Anglian Water’s Great Billing #WaterRecycling Center: https://t.co/n8adShWteh;7/28/2019 13:00;0;;;;;;;;;
#wastewater;1.15546E+18;கழிவுநீரைப் பயன்படுத்தி விவசாயம் - வேதனையில் விவசாயிகள் #Theni | #Farmers | #Andippatti | #WasteWater https://t.co/LJedspM50e;7/28/2019 12:49;4;;;;;;;;;
#wastewater;1.15538E+18;water treatment operator https://t.co/flNw06NOEQ #wastewater;7/28/2019 7:15;0;;;;;;;;;
#wastewater;1.15537E+18;"*@WEFTEC 
 ""changing #wastewater treatment plants to water #resource #recovery facilities may seem purely cosmetic...  wastewater treatment is about more than managing waste — it’s about #waterreuse, nutrient recovery, #energygeneration, and creating a more sustainable world."" https://t.co/r3b1KBRbON";7/28/2019 6:39;2;;;;;;;;;
#wastewater;1.15535E+18;“The #WaterEquipmentShow is massive  everyone you could possibly want to from the #water &amp  #wastewater industry is here. There’s no better place where you would go to get a more holistic view of technology &amp  innovation available.” Tony Boyd *@scottishwater https://t.co/M8UNFBJMY6 https://t.co/2jenG1Rg1L;7/28/2019 5:41;0;;;;;;;;;
#wastewater;1.15535E+18;"أكبر محطة معالجة ثلاثية لتحليه مياه الصرف الصحى فى #الغردقة

التفاصيل من خلال الرابط:
https://t.co/5Z85XAvjRR

#مصر #القاهرة #اكوا #المياه #الصرف_الصحي #مرافق_المياه 
#Egypt #Cairo #ACWUA #Water #Wastewater #Utilities";7/28/2019 5:28;0;;;;;;;;;
#wastewater;1.15532E+18;collection system technician i https://t.co/WK9AzPyRWG #wastewater;7/28/2019 3:12;0;;;;;;;;;
#wastewater;1.15531E+18;*@katiehannigan No way, I work in #wastewater treatment too! I run the lab at a utility in NJ.  Where is he out of? (Fine to DM for privacy.) Turns out you were right when you said I was ‘full of 💩’ #FrontRowIsFairGame 😂;7/28/2019 2:54;0;;;;;;;;;
#wastewater;1.1553E+18;wastewater operator i https://t.co/oHIXUKmdNa #wastewater;7/28/2019 2:23;0;;;;;;;;;
#wastewater;1.1553E+18;superintendent - water/wastewater https://t.co/Y45usfTg8c #wastewater;7/28/2019 2:23;0;;;;;;;;;
#wastewater;1.1553E+18;I snapped this pic our first day on the ship. I love that *@DisneyCruise is concerned about the quality of the influent #wastewater and educating its guests! #nerdygirl #watersworthit #obsessedwithwater #wastewatertreatment https://t.co/ftmjGDkvKC;7/28/2019 2:15;0;;;;;;;;;
#wastewater;1.15529E+18;wastewater plant operator trainee https://t.co/bNQtSZ3kB3 #wastewater;7/28/2019 1:19;0;;;;;;;;;
#wastewater;1.15524E+18;environmental scientist/ engineer https://t.co/MlOtjiVGQW #wastewater;7/27/2019 22:23;0;;;;;;;;;
#wastewater;1.15524E+18;Now that’s what I call high quality H2O!  #wastewater #safety https://t.co/wAJHeEtHHT;7/27/2019 22:00;0;;;;;;;;;
#wastewater;1.15524E+18;Now that’s what I call high quality H2O!  #wastewater #safety https://t.co/SEEXIO5cTS;7/27/2019 22:00;0;;;;;;;;;
#wastewater;1.15524E+18;We have commissioned our largest Evaporis* LT belt dryer system at the Dulces Nombres #Wastewater Treatment Plant in Monterrey, Mexico. Learn how this system will help divert wastewater sludge: https://t.co/oHZqaLU2ir;7/27/2019 22:00;1;;;;;;;;;
#wastewater;1.15523E+18;哪种水是安全的饮用水。#Water #DrinkingWater #wastewater #ClimateCrisis https://t.co/Ri1j65AGFZ;7/27/2019 21:31;0;;;;;;;;;
#wastewater;1.15522E+18;wastewater operator i https://t.co/a3o2eWoio3 #wastewater;7/27/2019 20:45;0;;;;;;;;;
#wastewater;1.15521E+18;280 investment projects. Over EUR 10.5 billion invested. Supporting #health, #transport, #education, #energysupply, #watersupply, #wastewater, #research, #accesstofinance of #SMEs. #EUBank 🇪🇺 for 42 years improving lives of people across #WesternBalkans 👇https://t.co/HyXBD66RbK https://t.co/HKaHNhXJrL;7/27/2019 19:55;0;;;;;;;;;
#wastewater;1.15519E+18;Today the #MWRD participated in the Back to School Health Fair at the Salvation Army Freedom Center. Students and families picked up school supplies and learned tips to protect the waterways. #HumboldtPark #Chicago #CookCounty #Wastewater 🏫🖍️✏️🎒 https://t.co/LHzEDwF535;7/27/2019 18:38;1;;;;;;;;;
#wastewater;1.15518E+18;Achieving #energyneutrality is a main goal for many #wastewater treatment plants. See how our solutions can help your operation achieve this: https://t.co/U7Gz4cxYGL;7/27/2019 18:00;0;;;;;;;;;
#wastewater;1.15516E+18;Benefits of recycling stone waste water: https://t.co/7uQM7N6r5Y *@WehaUSA #water #wastewater #watertreatment https://t.co/f7YBCeP8Ny;7/27/2019 17:03;0;;;;;;;;;
#wastewater;1.15516E+18;Communities are taking steps to protect their #water and #wastewater systems from severe flooding and other disasters. But the cost of modernizing an aging water and #stormwater infrastructure remains a big obstacle. Learn more here: https://t.co/Tm4EeWS46r https://t.co/I5ZmYWSFWg;7/27/2019 17:00;0;;;;;;;;;
#wastewater;1.15514E+18;Using a filter press is one of the primary water treatement options in the stone industry: https://t.co/Lugpkn7Mvy #watertreatment #granite #wastewater #recycle *@WehaUSA https://t.co/E19FKw1HjQ;7/27/2019 15:27;0;;;;;;;;;
#wastewater;1.15513E+18;"With civil #construction projects in full swing, contractors rely on precast #concrete pipes to speed up #wastewater #infrastructure schedules.

KLONDIKE Enhanced Form Release Oil easily separates concrete from #precast forms, ensuring consistent quality and #structural integrity https://t.co/buTiKJu1MO";7/27/2019 15:09;0;;;;;;;;;
#wastewater;1.15513E+18;"Scientists ​have developed ​a #wastewater ​treatment ​process that ​uses a common ​agricultural ​byproduct #biochar to ​effectively ​remove ​pollutants and ​environmental ​hormones, which ​are known to be ​endocrine ​disruptors. 

https://t.co/H4zcXyMGMd";7/27/2019 14:46;4;;;;;;;;;
#wastewater;1.15512E+18;Every day millions of gallons of #wastewater from oilfield operations move across New Mexico’s #PermianBasin. About half is recycled &amp  reused to drill &amp  #frack new #oil wells. The other half is injected into the ground at wastewater disposal sites... ... https://t.co/2TxZrMwf1c;7/27/2019 14:01;1;;;;;;;;;
#wastewater;1.1551E+18;"MBBR Media Volume Calculations in Excel Format STP ETP
#wastewater #mbbr
 https://t.co/ceRW0V5suF";7/27/2019 13:08;0;;;;;;;;;
#wastewater;1.1551E+18;With the city moving ahead in designing the first phase of a #septic to #sewer conversion in the north peninsula — and a small area inside the city — the biggest question continues to linger on residents' minds: How much is it going to cost? https://t.co/i60HbQ7sd3 #wastewater;7/27/2019 13:00;0;;;;;;;;;
#wastewater;1.15506E+18;Now that’s what I call high quality H2O!  #wastewater #safety https://t.co/FND5YK28nl;7/27/2019 10:00;0;;;;;;;;;
#wastewater;1.15506E+18;Now that’s what I call high quality H2O!  #wastewater #safety https://t.co/zkVWPaYB28;7/27/2019 10:00;0;;;;;;;;;
#wastewater;1.15503E+18;Our vision is to be the partner of choice for packaged #water and #wastewater applications, offering value-added #solutions designed to perform and built to last. https://t.co/DX5dURylMM https://t.co/XABDV4SMBv;7/27/2019 8:23;0;;;;;;;;;
#wastewater;1.15503E+18;Manager Water Distribution https://t.co/6j40HNfmkz #wastewater;7/27/2019 8:19;0;;;;;;;;;
#wastewater;1.155E+18;"An all-in-one:

Natural city garden for recreation.
#Ecotourism revenue.
Free #wastewater treatment.
#Livelihood for communities.
Fish&amp Veg supply.
Beautiful landscape for surrounding settlements.
#Flood control.
#Biodiversity .
Freshwater source.
#ClimateChange resilience. https://t.co/tU0nNKn8By";7/27/2019 6:08;0;;;;;;;;;
#wastewater;1.15499E+18;"சென்னை மந்தைவெளியில் குழாய் உடைந்து வீணான தண்ணீர்
#wastewater #Chennai https://t.co/VG55DPosLi";7/27/2019 5:46;1;;;;;;;;;
#wastewater;1.15498E+18;#saveearth #plantearth #wastewater #gogreen #savetree https://t.co/sKieOvw0tS;7/27/2019 5:17;0;;;;;;;;;
