category;tweet_id;text;date;retweet_count;geo;coordinates;place_id;place_centroid;place_country;place_country_code;place_full_name;place_name;place_type
#chemicalspill;1.15332E+18;"Supplied in an easy access clip close carrier, our complete spill kit is designed for spills up to 20litres.
#Spills #OilSpill #ChemicalSpill
https://t.co/xFgbvSHKnB https://t.co/uK1YoXd0tm";7/22/2019 15:23;0;;;;;;;;;
#algaebloom;1.15349E+18;"In 2016 we reported the confirmation of a connection between #theBlob and a massive 2015 #algaebloom:
https://t.co/VfdgT7jKYh";7/23/2019 2:15;2;;;;;;;;;
#algaebloom;1.1533E+18;This year’s #LakeErie #algaebloom is expected to be twice as bad as 2018’s. Experts at *@NOAA predicted the annual outbreak would start in late July, but last week it was already visible from space. For more blooms, see: https://t.co/Lv6KhFZUGn #EWGonag #agimpacts https://t.co/IFtcKesyIM;7/22/2019 13:30;3;;;;;;;;;
#algaebloom;1.15327E+18;For the second straight year, the Virginia Department of Health has advised people to avoid swimming in certain areas of Lake Anna due to a harmful #AlgaeBloom.   https://t.co/PLDxRirjik via *@TheCV;7/22/2019 11:37;1;;;;;;;;;
#algaebloom;1.15302E+18;A possible blue-green #AlgaeBloom in Hemlock Lake, the primary source of Rochester drinking water, was identified Thursday afternoon. https://t.co/1YsjtGyzxv via *@DandC;7/21/2019 19:32;0;;;;;;;;;
#algaebloom;1.15292E+18;Boats with outboard motors are, I think the worst for adding gas and oil to our Lake, when not properly maintained.😣 #algaebloom #lakeerie #cleanwater #EnvironmentalConservation https://t.co/wyDYHdBbLG;7/21/2019 12:20;0;;;;;;;;;
#algaebloom;1.15262E+18;Can’t believe it’s the hottest weekend of the year and all those lake people are going to get their first taste of a #landlyfe #summer #welcome #algaebloom #algaedoooomed;7/20/2019 17:02;0;;;;;;;;;
#algaebloom;1.15221E+18;#EnvironmentalEmergency #AlgaeBloom #SaveTheDolphins https://t.co/nSu55CFSFs;7/19/2019 13:48;0;;;;;;;;;
#algaebloom;1.1516E+18;New water samples in Mississippi show that the tropical storm didn't wash the #toxicalgae out to sea. All 21 of Mississippi's beaches are still closed because of the dangerous #algaebloom in the Gulf. https://t.co/da9TSkmdtr;7/17/2019 21:24;5;;;;;;;;;
#algaebloom;1.1516E+18;We successfully deployed the ESP in Lake Erie this morning. #NOAA #Fieldwork #GLERL #LMFS #Science #HABS #NOAA_GLERL #Algaebloom #Algae #Research #LakeErie #GreatLakes #michigan #ohio https://t.co/4zDeudqrOY;7/17/2019 21:01;2;;;;;;;;;
#algaebloom;1.15152E+18;If you enjoy time on New York’s waters, be informed about harmful algal blooms and how to avoid exposure to you and your pets: https://t.co/iix4Sv1Rwq #algaebloom #algalbloom *@NOAA *@SeaGrant *@NOAAeducation *@NOAA_GLERL *@ccecornell *@CornellCALS https://t.co/mD7OHyXUKB;7/17/2019 15:59;4;;;;;;;;;
#algaebloom;1.15146E+18;The Grant County Health District (GCHD) is asking the public to avoid contact with Moses Lake after a blue-green #AlgaeBloom was detected. https://t.co/KDqvXzDFlF via *@KREM2;7/17/2019 11:46;0;;;;;;;;;
#algaebloom;1.15146E+18;A possible blue-green #AlgaeBloom reported Monday at Outboards Only, a marina on the St. Lucie River that had a thick, nasty bloom in 2016. https://t.co/Zkdv6dwHqt via *@tcpalm;7/17/2019 11:42;2;;;;;;;;;
#algaebloom;1.15097E+18;*@CC_StormWatch Did #Barry help the #algaebloom problem in my MS gulf coast waters or not?   #Barry;7/16/2019 3:28;0;;;;;;;;;
#algaebloom;1.15084E+18;"The dead zone in the #GulfOfMexico, fed by fertilizer &amp  animal waste runoff from #farmlands into the #MississippiRiver, expected to be larger this year due to record-breaking floodwaters which encourage #algaebloom. #LakeErie 

https://t.co/SpbCh0PloK";7/15/2019 18:37;0;;;;;;;;;
#algaebloom;1.15079E+18;"The canals in Hackney were awash in #algae - and a bit of trash. 
.
.
.
.
.
#london #canals #algaebloom #litter #trash #plasticbottle #beercan #wandering #foundart #streetphotography #uk *@ Hackney Canal https://t.co/7pkqy2qqjS";7/15/2019 15:34;0;;;;;;;;;
