category;tweet_id;text;date;retweet_count;geo;coordinates;place_id;place_centroid;place_country;place_country_code;place_full_name;place_name;place_type
#waterandsanitation;1.15E+18;*@*@ConnectSDGs and measured by the #SocialProgress Index. https://t.co/zXogZz9unl;7/23/2019 15:30;1;;;;;;;;;
#waterandsanitation;1.15E+18;#Rotary #WaterAndSanitation Focus Area https://t.co/d4RV1GHbyE;7/21/2019 0:20;0;;;;;;;;;
#waterandsanitation;1.15E+18;*@waterequityorg is having in scaling up #waterandsanitation lending. Pleased to have made a $20m loan in support of their operations in Asia https://t.co/RbqsCWWueC;7/20/2019 7:43;0;;;;;;;;;
#wastewater;1.16E+18;collection system technician i https://t.co/WK9AzPyRWG #wastewater;7/28/2019 3:12;0;;;;;;;;;
#wastewater;1.16E+18;*@katiehannigan No way, I work in #wastewater treatment too! I run the lab at a utility in NJ.  Where is he out of? (Fine to DM for privacy.) Turns out you were right when you said I was ‘full of 💩’ #FrontRowIsFairGame 😂;7/28/2019 2:54;0;;;;;;;;;
#wastewater;1.16E+18;wastewater operator i https://t.co/oHIXUKmdNa #wastewater;7/28/2019 2:23;0;;;;;;;;;
#wastewater;1.16E+18;superintendent - water/wastewater https://t.co/Y45usfTg8c #wastewater;7/28/2019 2:23;0;;;;;;;;;
#wastewater;1.16E+18;*@DisneyCruise is concerned about the quality of the influent #wastewater and educating its guests! #nerdygirl #watersworthit #obsessedwithwater #wastewatertreatment https://t.co/ftmjGDkvKC;7/28/2019 2:15;0;;;;;;;;;
#wastewater;1.16E+18;wastewater plant operator trainee https://t.co/bNQtSZ3kB3 #wastewater;7/28/2019 1:19;0;;;;;;;;;
#wastewater;1.16E+18;Want to work at CCWRD? We're hiring in Las Vegas, NV! Click for details: https://t.co/XrRXwBvMvj #wastewater #Labor;7/27/2019 23:47;0;36.1699412,-115.1398296;-115.1398296,36.1699412;5c2b5e46ab891f07;-115.2709272692122,36.232915;United States;US;Las Vegas, NV;Las Vegas;city
#wastewater;1.16E+18;environmental scientist/ engineer https://t.co/MlOtjiVGQW #wastewater;7/27/2019 22:23;0;;;;;;;;;
#wastewater;1.16E+18;Now that’s what I call high quality H2O!  #wastewater #safety https://t.co/wAJHeEtHHT;7/27/2019 22:00;0;;;;;;;;;
#wastewater;1.16E+18;Now that’s what I call high quality H2O!  #wastewater #safety https://t.co/SEEXIO5cTS;7/27/2019 22:00;0;;;;;;;;;
#wastewater;1.16E+18;We have commissioned our largest Evaporis* LT belt dryer system at the Dulces Nombres #Wastewater Treatment Plant in Monterrey, Mexico. Learn how this system will help divert wastewater sludge: https://t.co/oHZqaLU2ir;7/27/2019 22:00;1;;;;;;;;;
#wastewater;1.16E+18;We're hiring! Click to apply: SENIOR CIVIL ENGINEER - https://t.co/9dnCF2jZWp #wastewater #Labor;7/27/2019 21:57;0;36.1699412,-115.1398296;-115.1398296,36.1699412;5c2b5e46ab891f07;-115.2709272692122,36.232915;United States;US;Las Vegas, NV;Las Vegas;city
#wastewater;1.16E+18;哪种水是安全的饮用水。#Water #DrinkingWater #wastewater #ClimateCrisis https://t.co/Ri1j65AGFZ;7/27/2019 21:31;0;;;;;;;;;
#wastewater;1.16E+18;wastewater operator i https://t.co/a3o2eWoio3 #wastewater;7/27/2019 20:45;0;;;;;;;;;
#wastewater;1.16E+18;Join the CCWRD team! See our latest job opening here: https://t.co/0nV3my2TBP #wastewater #Labor;7/27/2019 20:07;0;36.1699412,-115.1398296;-115.1398296,36.1699412;5c2b5e46ab891f07;-115.2709272692122,36.232915;United States;US;Las Vegas, NV;Las Vegas;city
#wastewater;1.16E+18;280 investment projects. Over EUR 10.5 billion invested. Supporting #health, #transport, #education, #energysupply, #watersupply, #wastewater, #research, #accesstofinance of #SMEs. #EUBank 🇪🇺 for 42 years improving lives of people across #WesternBalkans 👇https://t.co/HyXBD66RbK https://t.co/HKaHNhXJrL;7/27/2019 19:55;0;;;;;;;;;
